string.email, ای میل 
string.password, پاس ورڈ 
string.login, لاگ ان 
string.reset_password, پاس ورڈ ری سیٹ کریں 
string.spam_protection, سپیم تحفظ 
string.again, (پھر) 
string.noservers, کوئی سرورز ابھی تک آپ کے اکاؤنٹ کے لئے مقرر کیا گیا ہے. 
string.node, نوڈ 
string.name, نام 
string.connect, کنیکٹ 
string.status, رتبہ 
string.offline, حاضر 
string.online, آن لائن 
string.connection, کنکشن 
string.mem_alloc, میموری مختص 
string.disk_alloc, ڈسک مختص 
string.start, شروع 
string.restart, دوبارہ چالو کریں 
string.stop, بند کرو 
string.options, اختیارات 
string.search, تلاش 
string.clear, صاف 
تازہ, string.refresh 
string.close, بند 
string.generated_pass پیدا پاس ورڈ 
string.modpacks, Modpacks 
string.sftp, SFTP 
string.host, میزبان 
string.username, رکنیت 
string.generate, بنائیں 
string.description, تفصیل 
string.previous, پچھلا 
string.next, اگلا 
string.about, کے بارے میں 
string.version, ورژن 
string.published شائع 
string.versions, ورژن 
string.save, محفوظ 
footer.license, PufferPanel ایک <a href="https://github.com/DaneEveritt/PufferPanel/blob/master/LICENSE"> GPL-V3 لائسنس </a> کے تحت لائسنس یافتہ ہے. 
footer.version, <a سے تقسیم چل رہا ورژن٪ s کو PufferPanel ترقی کریں </a> href="http://pufferpanel.com/">. 
footer.generated, صفحہ٪ s کو سیکنڈ میں پیدا. 
footer.queries, پھانسی٪ کی ڈیٹا بیس سوالات. 
sidebar.acc_actions اکاؤنٹ کے اعمال 
sidebar.server_acc, سرور عوامل 
sidebar.server_sett, سرور کی ترتیبات 
sidebar.settings, ترتیبات 
sidebar.servers, میرا سرور 
sidebar.overview, جائزہ 
sidebar.console, لائیو کنسول 
sidebar.files, فائل منیجر 
sidebar.manage, سرور کے انتظام 
sidebar.plugins, سرور پلگ انز 
header.account, اکاؤنٹ 
header.logout, لاگ آؤٹ 
header.admin, ایڈمن CP 
login.login_h1, PufferPanel لاگ ان 
reset.reset_h1, آپ کا پاس ورڈ دوبارہ ترتیب دیں 
settings.change_pass, پاس ورڈ تبدیل کریں 
settings.update_email, اپ ڈیٹ ای میل 
settings.current_pass, موجودہ پاس ورڈ 
settings.new_pass, نیا پاس ورڈ 
settings.new_email, نیا ای میل 
settings.notifications_h1, اپ ڈیٹ نوٹیفکیشن کی ترجیحات 
settings.login_success, کامیاب لاگ ان 
settings.failed_login ناکام لاگ ان 
settings.notify.email_me, مجھے ای میل کریں 
settings.notify.no_email_me, مجھے ای میل کریں 
settings.update_preferences, اپ ڈیٹ کی ترجیحات 
node.overview.stats_h1, اعداد و شمار کا جائزہ 
node.overview.collect_usage, استعمال کے بارے میں معلومات جمع کرنے کے لئے کی کوشش, یہ ایک چند سیکنڈ لگ سکتا ہے. سرور آن لائن ہے براہ کرم یقینی بنائیں. 
node.overview.collect_disk, ڈسک استعمال کے بارے میں معلومات جمع, یہ ایک چند سیکنڈ لگ سکتا ہے. 
node.overview.no_players, کھلاڑی آن لائن ہیں. 
node.overview.disk_h1, ڈسک کی جگہ استعمال کیا جاتا ہے 
