string.email, 电子邮件
string.password, 密码
string.login, 登录
string.reset_password, 重置密码
string.spam_protection, 垃圾邮件防护
string.again, （重来）
string.node, 布点
string.name, 名称
string.connect, 连接
string.status, 状态
string.offline, 离线
string.online, 在线
string.connection, 链接状态
string.mem_alloc, 内存分配
string.disk_alloc, 磁盘分配
string.start, 启动
string.restart, 重启
string.stop, 停止
string.options, 设置
string.search, 搜索
string.clear, 清除
footer.license, PufferPanel 是以<a href="https://github.com/DaneEveritt/PufferPanel/blob/master/LICENSE">GPL-v3 许可证</a>以下授权。
footer.version, 现行版本（%s）是由 <a href="http://pufferpanel.com/">PufferPanel Development</a> 分发。
footer.generated, 在%s秒内生成此页。
footer.queries, 已执行%s数据库查询。
sidebar.acc_actions, 账户操作
sidebar.server_acc, 服务器操作
sidebar.server_sett, 服务器设置
sidebar.settings, 设置
sidebar.servers, 我的服务器
sidebar.overview, 概观
sidebar.console, 现场控制台
sidebar.files, 文件管理器
sidebar.manage, 服务器管理
sidebar.plugins, 服务器插件
header.account, 帐户
header.logout, 下线
header.admin, 管理员控制面板
login.login_h1, PufferPanel登录
reset.reset_h1, 重置您的密码
settings.change_pass, 更改密码
settings.update_email, 更改电子邮件
settings.current_pass, 当前密码
settings.new_pass, 新密码
settings.new_email, 新电子邮件
settings.notifications_h1, 通知首设置
settings.login_success, 成功登录
settings.failed_login, 失败登录
settings.notify.email_me, 请联络我
settings.update_preferences, 更新选项
node.overview.stats_h1, 统计概览
node.overview.collect_usage, 正在收集使用统计, 该过程可能需要一些时间。 请确保服务器处于联机状态。
node.overview.disk_h1, 该磁盘使用空间
node.overview.space_used, 您已经用了您所允许的%sMB的%sMB。
node.overview.information_h1, 服务器资料
node.console.command_help, 输入控制台命令
node.file.loading, 正在显示目录。 请稍候。
node.file.name, 文件名称
node.file.size, 文件大小
node.file.modified, 最后修改
node.settings.modpack.modpack_h1, 服务器改装配套管理
node.settings.modpack.current, 现时改装配套
node.settings.modpack.install, 安装改装配套
node.settings.jar.jar_h1 服务器 .jar 名称
node.settings.jar.jarfile_name, Jarfile 名称
node.settings.jar.update, 更新名称
node.plugins.welcome_h1, 插件安装程序
node.plugins.welcome, 欢迎光临, 您正在使用内置插件的安装程序。 这一个安装程序将从Bukget收集数据, 并将它们在这里显示。 安装程序可能会有时出错, 尤其是在处理比较复杂的插件。 如果方便的话, 我们建议首先在电脑上下载您的插件。
node.plugins.search_h1, 搜索插件库
node.plugins.plugin_name, 插件名称
